"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"07/10/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/11/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","11","46.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/12/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","10","42.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/13/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/14/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/15/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/16/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/17/2023","AQS","320030043","1","0.3","ppm","3","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/18/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/19/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/20/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/21/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/22/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/23/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/24/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/25/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/26/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/27/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/28/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/29/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/30/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"07/31/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/01/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/02/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/03/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/04/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/05/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/06/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/07/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/08/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/09/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/10/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/11/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/12/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/13/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/14/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/15/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/16/2023","AQS","320030043","1","0.1","ppm","1","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
"08/17/2023","AQS","320030043","1","0.2","ppm","2","Paul Meyer","24","100.0000","42101","Carbon monoxide","593","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.106389","-115.253333"
